CHEMBL3648942,Cc1nc(N)nc2N([C@@H]3CC[C@H](O)C3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,1.2
CHEMBL3648944,Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)C3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,1.2
CHEMBL1808982,COc1nc(nc(n1)c2ccc(NC(=O)Nc3ccc(cc3)C(=O)N4CCN(C)CC4)cc2)N5CCOCC5,1.2
CHEMBL2322502,Clc1ccccc1N2C(=O)NN=C2c3cc4CCOc5ccccc5c4s3,1.2
CHEMBL2322777,Fc1ccc(c(F)c1)n2ncnc2c3cc4CCOc5ccccc5c4s3,1.2
CHEMBL3648937,Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)CC3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,1.3
CHEMBL3652250,CCn1nccc1NC(=O)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O,1.3
CHEMBL2381251,CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)C(=O)N)s2,1.3
CHEMBL2381271,CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5cn(C)cn5)s2,1.3
CHEMBL3577923,COc1ncc(cc1NS(=O)(=O)c2ccc(Cl)s2)c3cc4c(ncnc4s3)c5ccncc5,1.3
CHEMBL1910998,Oc1cccc2c1nc(C(F)F)n2c3nc(nc(n3)N4CCOCC4)N5CCOCC5,1.3
CHEMBL1928561,Cc1ccc(cc1S(=O)(=O)N(CCO)\N=C\c2cnn3ccc(cc23)C#N)[N+](=O)[O-],1.3
CHEMBL2381273,CC(C)n1ncnc1c2nc3c(CCOc4cc(ccc34)c5ccc(N)nc5)s2,1.4
CHEMBL1092073,CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(cc2)c3nc(N4CCOCC4)c5ccn(CC(F)(F)F)c5n3)cc1,1.4
CHEMBL589258,CCn1nnc2c(nc(nc12)c3ccc(NC(=O)Nc4ccc(cc4)C(=O)N5CCN(C)CC5)cc3)N6CCOCC6,1.4
